Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Total;Feed flow rate (ton/hour);Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaO Addition in process ;Water added into system from redmud washing into conditioning   ;Alumunium in bauxite bauxite feed ;Alumunium in Recycled Spent Liquor  ;Alumina Hydrate Seed
60.00%;7.13%;21.56%;2.25%;0.42%;0.38%;0.25%;0.23%;0.13%;7.64%;100.00%;150;6.341945073;7.174812853;113.6000812;38.10279282;8.043895709;661.2518204
53.85%;1.80%;18.25%;0.28%;1.01%;0.38%;0.15%;0.56%;0.07%;23.64%;100.00%;150;5.674667671;0.730355282;60.16697372;34.19993086;8.331549782;784.4081689
57.11%;2.78%;16.66%;2.36%;0.32%;0.30%;0.02%;0.11%;0.05%;20.29%;100.00%;150;5.842350582;2.611252389;74.99128728;36.26774552;9.075670221;893.412637
60.63%;3.25%;19.01%;1.37%;0.82%;0.45%;0.02%;0.33%;0.10%;14.02%;100.00%;150;4.235993065;2.514392353;75.12986142;38.5029133;10.10651978;745.58343
51.50%;2.04%;17.16%;1.10%;0.50%;0.30%;0.16%;0.07%;0.03%;27.14%;100.00%;150;5.610886736;1.594566848;59.80182291;32.7062444;12.49540518;964.9459986
54.49%;7.68%;13.91%;1.29%;1.39%;0.63%;0.02%;0.50%;0.10%;20.00%;100.00%;150;6.62748658;6.597543422;97.24810174;34.60409407;8.797570581;753.6122799
59.78%;5.75%;17.24%;2.70%;0.76%;0.49%;0.21%;0.13%;0.11%;12.84%;100.00%;150;4.73464679;5.275547055;96.58227256;37.96497662;8.888686713;700.030707
53.61%;4.00%;23.19%;2.83%;1.33%;0.61%;0.11%;0.52%;0.04%;13.75%;100.00%;150;5.877299431;2.705406664;96.28963799;34.04432362;10.59742061;751.3188634
49.79%;4.66%;19.51%;0.52%;0.69%;0.65%;0.16%;0.42%;0.10%;23.50%;100.00%;150;6.277428661;4.196560992;87.7775918;31.6196737;9.783895;755.9006765
51.78%;2.07%;19.39%;0.58%;0.46%;0.81%;0.17%;0.40%;0.06%;24.28%;100.00%;150;5.892224951;1.670955052;67.20212375;32.88331824;8.140600678;718.3144221
60.25%;7.82%;20.98%;2.46%;1.31%;0.26%;0.09%;0.09%;0.02%;6.71%;100.00%;150;6.783914127;6.841332986;114.6239132;38.26552405;7.632084178;724.5594642
62.83%;3.35%;12.40%;1.13%;0.95%;0.55%;0.06%;0.25%;0.06%;18.42%;100.00%;150;0.261759647;2.463618133;59.8997751;39.90084233;12.99519038;990.2122329
57.95%;7.45%;15.36%;2.03%;0.76%;0.77%;0.13%;0.14%;0.01%;15.38%;100.00%;150;6.213003324;7.105646864;104.7085519;36.8010149;9.916768591;900.3918661
56.52%;5.69%;20.89%;2.78%;1.29%;0.36%;0.05%;0.44%;0.03%;11.95%;100.00%;150;6.279818639;4.568635507;102.1120927;35.89254007;8.408007791;708.886068
50.35%;4.13%;24.49%;2.40%;0.29%;0.64%;0.23%;0.42%;0.11%;16.94%;100.00%;150;6.027150257;4.099480213;98.077418;31.97283341;10.18343649;847.8078101
51.95%;3.18%;20.87%;0.64%;0.57%;0.50%;0.25%;0.30%;0.06%;21.68%;100.00%;150;5.916256946;2.744942925;77.0954124;32.98968216;11.38146992;700.9637606
61.78%;7.43%;16.08%;2.57%;0.55%;0.61%;0.27%;0.58%;0.08%;10.05%;100.00%;150;5.108667946;7.341801713;104.6353962;39.23334903;9.304044631;1010.365087
60.47%;7.25%;14.57%;0.70%;0.55%;0.26%;0.26%;0.23%;0.10%;15.60%;100.00%;150;5.702220346;7.142750395;91.57520047;38.40047855;12.89873524;888.4039971
57.09%;5.79%;19.71%;0.78%;0.73%;0.43%;0.28%;0.60%;0.13%;14.46%;100.00%;150;5.969610973;5.352741676;95.55905408;36.25680971;7.804056669;866.297145
60.08%;4.25%;24.56%;1.52%;0.61%;0.78%;0.15%;0.14%;0.08%;7.81%;100.00%;150;4.705504044;3.842044259;96.26236015;38.15620001;11.51765117;966.6170933
50.80%;2.95%;12.07%;1.34%;0.51%;0.43%;0.09%;0.38%;0.12%;31.30%;100.00%;150;5.913754489;2.572483543;56.15433213;32.2614457;9.485289021;726.1842563
57.36%;5.75%;13.06%;1.46%;0.41%;0.72%;0.08%;0.17%;0.03%;20.95%;100.00%;150;6.184786055;5.698969618;80.3701961;36.42614255;9.645989838;899.5328216
51.75%;4.08%;13.42%;2.91%;1.00%;0.60%;0.29%;0.57%;0.05%;25.34%;100.00%;150;5.901138733;3.191659056;72.40746532;32.86221504;8.20305871;815.5523456
54.83%;2.95%;12.61%;1.02%;0.45%;0.74%;0.18%;0.49%;0.09%;26.66%;100.00%;150;5.608185077;2.636687487;59.42979245;34.81821491;8.852391177;652.9395326
53.25%;3.43%;18.34%;1.19%;1.12%;0.48%;0.30%;0.18%;0.03%;21.69%;100.00%;150;5.901571305;2.35556588;77.45607595;33.81927833;9.583507214;887.1568983
49.89%;7.17%;12.90%;0.37%;0.39%;0.82%;0.29%;0.10%;0.02%;28.04%;100.00%;150;6.054342915;7.248822446;88.9531165;31.6843517;7.864356539;821.7258996
54.78%;6.23%;20.71%;0.58%;0.41%;0.57%;0.29%;0.46%;0.14%;15.82%;100.00%;150;6.268939676;6.218656946;100.2640751;34.79130123;11.89891435;868.045388
51.24%;7.55%;19.89%;0.39%;1.49%;0.44%;0.08%;0.22%;0.15%;18.56%;100.00%;150;6.789303071;6.337964717;105.861097;32.53964835;7.239826339;769.584225
59.09%;6.60%;15.96%;1.76%;1.00%;0.61%;0.05%;0.07%;0.07%;14.79%;100.00%;150;6.631885697;5.905823303;93.76071121;37.52945576;10.56242894;746.4381911
56.74%;1.76%;14.13%;1.54%;0.52%;0.88%;0.04%;0.08%;0.08%;24.24%;100.00%;150;4.420264019;1.276183045;53.05829134;36.03124204;10.28619582;676.7023155
58.90%;6.17%;19.52%;0.93%;1.10%;0.58%;0.14%;0.29%;0.02%;12.35%;100.00%;150;5.675713578;5.31923853;98.94855416;37.40319237;9.267985111;898.1119942
62.85%;2.46%;16.44%;0.76%;0.33%;0.35%;0.28%;0.55%;0.12%;15.87%;100.00%;150;5.57785208;2.258200641;62.09214729;39.91196362;11.23732834;743.2907412
55.00%;1.78%;23.60%;0.83%;1.31%;0.66%;0.30%;0.48%;0.12%;15.94%;100.00%;150;5.3682519;0.342576368;74.75348121;34.93074891;10.07359873;770.1424224
49.53%;6.28%;13.71%;2.76%;0.66%;0.74%;0.24%;0.18%;0.09%;25.80%;100.00%;150;6.038075944;5.956654498;88.96571931;31.45469399;7.195806785;776.3630055
49.99%;7.28%;22.11%;0.30%;1.20%;0.63%;0.22%;0.28%;0.02%;17.96%;100.00%;150;6.351683729;6.395500053;110.8798385;31.75043595;6.697200909;790.4524111
52.65%;3.47%;18.04%;1.76%;0.59%;0.31%;0.25%;0.30%;0.12%;22.50%;100.00%;150;5.630279583;3.022916257;74.82872547;33.43561267;7.412539143;635.0754699
59.37%;5.58%;12.97%;1.21%;1.32%;0.77%;0.12%;0.25%;0.03%;18.37%;100.00%;150;6.19475137;4.413785777;77.87939217;37.70564383;13.06985531;970.195475
57.88%;2.22%;12.08%;2.40%;1.20%;0.82%;0.22%;0.15%;0.04%;22.99%;100.00%;150;5.916863273;0.952315239;53.64424831;36.75694611;12.03817508;871.3861691
56.21%;6.13%;16.55%;2.14%;0.39%;0.91%;0.19%;0.54%;0.11%;16.83%;100.00%;150;6.094820761;6.127906197;97.73273138;35.69755407;10.21153693;829.1545208
52.11%;2.50%;14.65%;2.88%;1.11%;0.55%;0.14%;0.08%;0.04%;25.94%;100.00%;150;5.666218517;1.360865144;63.12253941;33.09368025;11.53528575;706.8352954
59.32%;6.70%;19.41%;1.13%;0.36%;0.37%;0.12%;0.16%;0.10%;12.33%;100.00%;150;5.861572467;6.786088664;100.2177592;37.67075825;9.078480754;867.6531975
50.36%;4.12%;19.60%;0.74%;1.11%;0.42%;0.15%;0.27%;0.07%;23.17%;100.00%;150;5.797753677;3.112262462;83.87924426;31.98096808;11.16499097;625.7878599
56.89%;2.22%;12.27%;1.83%;0.56%;0.70%;0.22%;0.28%;0.01%;25.02%;100.00%;150;5.234796581;1.718224862;62.52523987;36.12942587;9.976472501;724.3360379
56.17%;3.37%;15.92%;2.10%;1.49%;0.69%;0.30%;0.32%;0.03%;19.61%;100.00%;150;5.316951047;1.82812764;72.59465419;35.6692436;11.71230899;968.6597136
59.67%;1.67%;18.29%;1.07%;0.86%;0.55%;0.19%;0.49%;0.06%;17.14%;100.00%;150;4.895478723;0.76889276;61.40722341;37.89539851;14.16694351;1011.688349
53.51%;4.26%;24.11%;1.37%;1.10%;0.72%;0.11%;0.51%;0.12%;14.20%;100.00%;150;5.717323578;3.262648414;99.78420368;33.98409149;7.223710324;791.128801
59.60%;7.77%;20.50%;1.87%;1.44%;0.78%;0.06%;0.23%;0.05%;7.70%;100.00%;150;5.914344361;6.632461929;113.8973177;37.85188996;8.164830913;802.6327861
58.22%;5.49%;18.75%;2.80%;0.28%;0.72%;0.29%;0.47%;0.04%;12.94%;100.00%;150;5.638184539;5.569886213;97.59373039;36.97294069;9.461500472;656.7743232
61.99%;4.58%;22.58%;2.43%;0.31%;0.35%;0.28%;0.20%;0.06%;7.22%;100.00%;150;6.150942596;4.557311171;95.17420784;39.36504814;11.72900148;741.6055688
60.85%;1.92%;23.40%;1.58%;0.52%;0.45%;0.13%;0.26%;0.02%;10.87%;100.00%;150;6.045973111;1.435484708;75.44376971;38.6464075;11.32976831;997.3439363
51.13%;5.43%;21.82%;2.22%;1.22%;0.39%;0.24%;0.23%;0.15%;17.16%;100.00%;150;5.787078027;4.38147725;101.1858683;32.47318179;7.188754359;711.0332812
57.14%;7.21%;13.69%;1.32%;0.57%;0.69%;0.20%;0.37%;0.11%;18.71%;100.00%;150;6.05513523;7.068070389;93.42775752;36.28845127;9.105439208;940.9875895
57.53%;4.83%;24.34%;0.63%;0.57%;0.44%;0.22%;0.48%;0.12%;10.84%;100.00%;150;5.715144192;4.512778356;102.2257756;36.53584513;8.392348355;766.9763182
53.86%;6.63%;18.69%;1.96%;0.44%;0.90%;0.15%;0.29%;0.11%;16.96%;100.00%;150;6.151832351;6.61628725;101.5195953;34.20728954;9.329245292;833.5168301
60.49%;3.56%;24.62%;1.68%;0.92%;0.89%;0.29%;0.58%;0.01%;6.97%;100.00%;150;4.655737671;2.730948361;93.49876364;38.41350386;8.326756222;917.2887061
50.27%;2.46%;17.52%;2.14%;0.63%;0.37%;0.17%;0.51%;0.08%;25.84%;100.00%;150;5.494662763;1.893711828;73.65077682;31.92700066;7.505942802;583.2418105
62.30%;2.90%;14.18%;3.00%;1.03%;0.82%;0.18%;0.09%;0.11%;15.40%;100.00%;150;0.238358531;1.8871443;66.03179482;39.56212744;9.255243787;819.5658014
50.99%;2.47%;21.19%;2.27%;0.53%;0.91%;0.08%;0.21%;0.05%;21.29%;100.00%;150;6.000346133;2.019982068;78.84948749;32.38394647;7.093665998;745.7952479
53.89%;6.95%;19.63%;1.99%;1.25%;0.79%;0.28%;0.09%;0.06%;15.08%;100.00%;150;6.405480181;5.97256616;108.6526004;34.22241949;8.036431879;771.9587244
54.43%;3.59%;14.73%;2.75%;0.77%;0.26%;0.01%;0.12%;0.04%;23.29%;100.00%;150;5.981914557;2.940458793;71.10361727;34.56389011;8.335158465;795.8710439
53.99%;7.09%;13.82%;2.64%;0.46%;0.42%;0.23%;0.58%;0.06%;20.73%;100.00%;150;6.362890835;7.075029586;96.36945832;34.2868647;9.823216836;679.032116
58.66%;3.22%;19.54%;2.86%;0.97%;0.53%;0.28%;0.46%;0.14%;13.33%;100.00%;150;5.655572809;2.300869034;82.84266261;37.2528808;10.33571788;797.1358052
53.78%;7.08%;12.40%;1.02%;0.78%;0.74%;0.08%;0.22%;0.07%;23.82%;100.00%;150;6.412118575;6.681100139;87.2303992;34.15245907;9.80164074;688.9042264
56.88%;5.57%;16.00%;0.47%;1.50%;0.57%;0.17%;0.20%;0.15%;18.50%;100.00%;150;6.449673733;4.200481982;82.21339793;36.1199247;10.5482573;842.5399715
49.04%;4.27%;17.51%;1.80%;1.43%;0.83%;0.18%;0.54%;0.13%;24.28%;100.00%;150;6.150784751;2.885021077;82.13754336;31.1422398;10.40545797;781.9799407
50.25%;3.72%;12.34%;0.49%;0.55%;0.71%;0.25%;0.31%;0.01%;31.36%;100.00%;150;5.491478851;3.33794799;64.64203643;31.91334698;11.12129345;703.2142273
61.82%;4.91%;16.81%;2.33%;0.28%;0.51%;0.14%;0.45%;0.12%;12.64%;100.00%;150;6.146274175;4.947912847;84.58967464;39.25857445;12.12740379;1036.341569
50.37%;2.25%;12.72%;2.17%;0.35%;0.88%;0.16%;0.48%;0.11%;30.52%;100.00%;150;5.629694854;2.002699149;56.02901201;31.98897026;10.04559736;758.285089
53.59%;2.13%;24.64%;2.26%;0.86%;0.61%;0.03%;0.22%;0.05%;15.60%;100.00%;150;5.991420335;1.259055933;83.03199582;34.0310939;9.927004968;779.7466366
57.13%;2.53%;14.62%;0.73%;1.05%;0.27%;0.21%;0.43%;0.08%;22.95%;100.00%;150;5.902154994;1.46843322;58.68107138;36.27896145;9.676443722;730.6251913
51.89%;7.55%;22.58%;2.81%;0.83%;0.69%;0.13%;0.12%;0.06%;13.35%;100.00%;150;6.443834873;7.133314974;118.4816667;32.95258595;10.40596191;807.92855
54.13%;2.62%;22.46%;0.79%;1.30%;0.51%;0.16%;0.25%;0.12%;17.67%;100.00%;150;5.857311799;1.25099973;77.4883728;34.37446853;8.547586565;720.1568733
56.50%;6.44%;20.14%;1.21%;0.74%;0.29%;0.13%;0.21%;0.15%;14.20%;100.00%;150;6.132871779;6.038907141;100.3145386;35.88142257;7.629525012;913.1109727
49.61%;5.25%;12.41%;2.84%;0.34%;0.27%;0.10%;0.33%;0.08%;28.78%;100.00%;150;6.528996479;5.23539838;77.02454306;31.50406791;11.10236;853.3050554
61.09%;5.59%;14.74%;2.35%;0.73%;0.32%;0.27%;0.42%;0.03%;14.46%;100.00%;150;6.295446319;5.133050874;86.91466943;38.7948264;13.63898159;1004.201067
50.83%;1.53%;17.53%;1.54%;0.38%;0.82%;0.26%;0.29%;0.08%;26.73%;100.00%;150;5.408888718;1.195440519;59.86535119;32.27986511;9.099423433;713.4926573
50.36%;4.77%;20.01%;0.87%;1.17%;0.68%;0.11%;0.59%;0.01%;21.44%;100.00%;150;5.732410643;3.727958889;88.97438201;31.98289859;6.745312514;611.0183163
55.99%;1.70%;21.15%;1.13%;0.56%;0.29%;0.30%;0.33%;0.12%;18.43%;100.00%;150;5.515291582;1.154262022;68.51527591;35.5573796;7.990044335;889.8938345
56.73%;2.29%;19.17%;2.41%;1.13%;0.59%;0.03%;0.26%;0.10%;17.28%;100.00%;150;5.766857;1.107102889;73.52922572;36.02945158;10.54977625;704.9165681
49.63%;2.50%;22.43%;1.27%;1.27%;0.90%;0.08%;0.40%;0.07%;21.46%;100.00%;150;5.574952301;1.165760141;78.93179709;31.51817961;11.30977932;636.0905112
52.47%;2.27%;12.85%;1.59%;1.02%;0.58%;0.24%;0.10%;0.11%;28.77%;100.00%;150;5.224568298;1.215300742;53.76310688;33.32339285;8.674551039;860.1288296
57.54%;1.74%;14.25%;2.86%;1.19%;0.84%;0.03%;0.18%;0.04%;21.34%;100.00%;150;5.325568076;0.436881762;59.10255585;36.53934277;8.115880127;722.9068465
55.36%;3.88%;18.05%;1.90%;0.37%;0.49%;0.02%;0.35%;0.08%;19.50%;100.00%;150;6.220933597;3.736756573;82.87983714;35.15811461;8.717088155;624.0347744
51.15%;7.91%;16.34%;0.78%;0.98%;0.54%;0.02%;0.20%;0.02%;22.06%;100.00%;150;6.907845297;7.328444277;103.229954;32.48447342;8.148381523;667.9950238
55.85%;5.41%;18.34%;0.52%;1.07%;0.42%;0.11%;0.29%;0.05%;17.94%;100.00%;150;6.463179864;4.537503013;90.15282192;35.47042684;11.71078997;821.9550512
51.48%;5.97%;20.59%;2.08%;0.97%;0.26%;0.12%;0.41%;0.06%;18.07%;100.00%;150;6.350258786;5.262749966;103.0691987;32.69172767;8.32057051;623.6203393
59.73%;3.27%;21.41%;1.34%;0.86%;0.46%;0.07%;0.23%;0.11%;12.52%;100.00%;150;6.250839923;2.486376068;82.95082911;37.93036358;13.21388133;809.462241
54.48%;2.77%;17.68%;0.79%;0.44%;0.60%;0.26%;0.53%;0.07%;22.38%;100.00%;150;5.469386767;2.448501043;75.34627526;34.60135349;10.65389834;723.5597301
50.24%;5.75%;15.73%;1.19%;0.87%;0.60%;0.21%;0.25%;0.14%;25.02%;100.00%;150;6.279284265;5.140392143;86.63310318;31.90767656;7.528885978;573.5682682
58.01%;2.51%;13.96%;0.28%;0.98%;0.49%;0.23%;0.46%;0.13%;22.95%;100.00%;150;5.048582121;1.531348817;58.6442039;36.84312288;8.93011341;762.849978
51.80%;2.82%;21.60%;1.46%;1.00%;0.77%;0.29%;0.16%;0.06%;20.05%;100.00%;150;5.574833636;1.836918583;80.46020524;32.89814537;7.188605017;800.7773369
50.19%;3.48%;12.54%;0.47%;1.36%;0.66%;0.07%;0.41%;0.06%;30.76%;100.00%;150;5.728717637;2.10413486;59.50912057;31.87346099;7.556560242;752.937269
57.10%;2.63%;15.34%;1.19%;0.60%;0.48%;0.07%;0.23%;0.15%;22.23%;100.00%;150;5.909102074;2.112565173;61.14691807;36.26253691;7.988785118;812.0468077
57.32%;2.73%;23.65%;2.27%;0.30%;0.66%;0.19%;0.52%;0.02%;12.35%;100.00%;150;5.877001728;2.586244493;87.25434159;36.39937272;7.963625455;693.702852
55.78%;4.57%;12.79%;1.83%;0.73%;0.48%;0.29%;0.31%;0.01%;23.20%;100.00%;150;5.635157956;4.042999609;77.38371651;35.42538145;8.546915549;766.8148615
55.29%;2.57%;13.24%;1.66%;0.66%;0.67%;0.21%;0.09%;0.13%;25.48%;100.00%;150;5.607345486;1.976782731;57.22348408;35.11501108;8.164957271;645.0053348
52.60%;6.49%;13.07%;1.73%;0.46%;0.74%;0.12%;0.26%;0.11%;24.43%;100.00%;150;6.362008902;6.43303467;85.87097387;33.4055231;6.892793104;711.5429787
52.52%;5.51%;23.87%;1.03%;0.37%;0.81%;0.09%;0.25%;0.07%;15.48%;100.00%;150;6.139905909;5.490992991;103.0001143;33.35313795;6.87546017;789.6680865
61.08%;7.03%;23.51%;2.23%;0.99%;0.45%;0.28%;0.47%;0.05%;3.92%;100.00%;150;6.065529782;6.385248007;125.2957648;38.78737309;10.54733401;790.5442006
50.29%;4.47%;12.78%;1.90%;1.03%;0.64%;0.24%;0.19%;0.04%;28.42%;100.00%;150;5.643411553;3.575208416;71.56831475;31.94023417;10.77266646;888.8178604
58.64%;3.09%;22.92%;0.81%;1.31%;0.34%;0.10%;0.39%;0.06%;12.35%;100.00%;150;6.069330126;1.747134551;81.99437947;37.24186928;10.50780952;726.523212
62.73%;6.99%;18.30%;1.09%;0.63%;0.83%;0.21%;0.09%;0.02%;9.10%;100.00%;150;2.483390873;6.772074904;104.1028434;39.83839957;8.828142176;817.3402254
57.31%;1.90%;19.07%;1.29%;0.52%;0.34%;0.24%;0.36%;0.05%;18.93%;100.00%;150;3.679360087;1.422661073;66.00263512;36.39833932;11.35193713;993.8013422
56.16%;2.71%;17.39%;1.37%;0.34%;0.30%;0.09%;0.35%;0.12%;21.17%;100.00%;150;6.206285975;2.501987959;67.17034747;35.66394036;10.78598944;838.4162655
51.84%;2.24%;18.44%;2.84%;0.28%;0.89%;0.10%;0.44%;0.05%;22.88%;100.00%;150;5.880127284;2.081193961;73.46147442;32.91993371;11.25411344;746.3807724
60.03%;3.81%;20.57%;0.70%;0.36%;0.87%;0.23%;0.44%;0.04%;12.95%;100.00%;150;5.893640337;3.666540344;83.52849256;38.12087912;8.376798983;796.0528522
55.34%;3.30%;12.15%;0.59%;0.28%;0.29%;0.15%;0.39%;0.03%;27.47%;100.00%;150;5.642376135;3.221408864;65.6623704;35.147951;7.416695543;623.6420141
57.32%;2.73%;13.98%;1.51%;1.04%;0.77%;0.17%;0.59%;0.02%;21.88%;100.00%;150;5.447225212;1.687024158;67.68350265;36.40095877;9.279330427;909.2399051
54.52%;2.10%;17.27%;0.75%;1.37%;0.30%;0.08%;0.30%;0.12%;23.19%;100.00%;150;5.618456285;0.618443092;60.94859294;34.62279359;11.28166109;652.8302375
60.45%;2.88%;21.76%;1.38%;0.61%;0.27%;0.27%;0.33%;0.12%;11.95%;100.00%;150;5.96759337;2.364943716;79.06787977;38.38964494;13.25392997;868.745416
52.24%;5.59%;17.24%;0.57%;0.31%;0.56%;0.09%;0.37%;0.09%;22.94%;100.00%;150;6.488888181;5.63545018;86.94884981;33.17378156;9.796802281;797.3112004
50.68%;5.58%;15.66%;0.87%;0.72%;0.87%;0.14%;0.49%;0.11%;24.88%;100.00%;150;6.204106279;5.149321945;85.93708627;32.18467169;6.731629258;572.8849663
57.74%;5.37%;22.64%;2.12%;1.12%;0.45%;0.07%;0.15%;0.05%;10.30%;100.00%;150;6.181968686;4.437237815;101.9052434;36.66766538;8.299418795;698.1216374
61.01%;5.10%;22.90%;1.10%;1.01%;0.60%;0.17%;0.39%;0.10%;7.63%;100.00%;150;6.363762364;4.273119096;99.72113486;38.74754766;9.290938206;890.2832936
52.27%;6.03%;18.15%;1.87%;0.37%;0.55%;0.13%;0.26%;0.03%;20.34%;100.00%;150;6.171336868;6.040047031;94.35551928;33.1978411;8.076564163;596.7682521
52.61%;4.73%;16.26%;1.98%;0.28%;0.83%;0.13%;0.59%;0.07%;22.51%;100.00%;150;5.836740707;4.749343459;87.44675211;33.41253353;9.314882727;799.0898416
56.27%;3.08%;16.83%;0.31%;0.46%;0.85%;0.27%;0.22%;0.02%;21.70%;100.00%;150;5.462791709;2.772835052;67.28587823;35.73344654;9.286625571;707.0016963
60.70%;2.14%;15.48%;1.14%;0.45%;0.64%;0.21%;0.40%;0.10%;18.74%;100.00%;150;1.142993149;1.764535304;58.37408212;38.54772401;14.35191153;1110.619271
59.96%;1.60%;13.54%;1.21%;0.53%;0.48%;0.13%;0.48%;0.03%;22.04%;100.00%;150;4.884885003;1.084119717;50.17344647;38.08105369;12.50105952;1040.891433
49.96%;2.24%;22.82%;1.77%;0.82%;0.59%;0.09%;0.40%;0.04%;21.28%;100.00%;150;5.62712479;1.42723267;77.95600032;31.72750444;9.84401705;730.4769987
55.59%;3.85%;19.73%;0.58%;0.33%;0.31%;0.03%;0.52%;0.09%;18.96%;100.00%;150;6.276824754;3.746197098;79.64941281;35.30621555;11.77143005;894.6947777
53.46%;5.69%;13.95%;1.95%;1.43%;0.73%;0.10%;0.13%;0.08%;22.48%;100.00%;150;6.246378732;4.40910023;85.25448995;33.94811195;10.64005489;907.5292936
59.03%;5.22%;23.38%;1.05%;0.57%;0.35%;0.24%;0.54%;0.10%;9.52%;100.00%;150;5.976885712;4.928471449;100.4628041;37.48674969;11.63257475;1029.944333
49.03%;5.57%;23.06%;1.14%;0.45%;0.79%;0.17%;0.40%;0.02%;19.36%;100.00%;150;5.777292499;5.455170456;106.1490063;31.13662238;9.6040433;738.3134545
50.93%;4.60%;17.28%;2.22%;1.09%;0.63%;0.10%;0.52%;0.02%;22.61%;100.00%;150;5.797526831;3.635187301;83.32778368;32.34270155;7.744836961;617.5366261
49.20%;5.17%;23.19%;1.82%;0.68%;0.44%;0.27%;0.14%;0.10%;18.99%;100.00%;150;5.923095956;4.753776808;101.0937848;31.24796022;9.848553734;675.845282
61.41%;3.51%;17.47%;2.67%;0.63%;0.30%;0.11%;0.41%;0.08%;13.40%;100.00%;150;3.474023853;3.02640433;76.0547116;38.99920002;9.132660258;863.9485536
54.60%;4.83%;17.90%;0.88%;1.25%;0.48%;0.04%;0.08%;0.05%;19.89%;100.00%;150;6.048808102;3.703860126;82.59897339;34.67447088;10.20620485;805.999601
62.19%;6.82%;20.02%;2.68%;0.60%;0.87%;0.05%;0.05%;0.03%;6.69%;100.00%;150;6.502511503;6.612794683;113.8719247;39.49784879;11.65660183;960.9368322
52.83%;3.53%;19.06%;0.93%;1.04%;0.86%;0.29%;0.42%;0.10%;20.93%;100.00%;150;5.992887788;2.546677192;77.22526713;33.5513112;7.802078589;862.6139972
58.27%;5.53%;12.95%;2.09%;0.51%;0.28%;0.27%;0.22%;0.05%;19.83%;100.00%;150;5.802944499;5.338393222;79.86446428;37.00509326;12.25823413;785.5398212
62.92%;1.99%;15.00%;0.26%;1.06%;0.76%;0.14%;0.40%;0.01%;17.45%;100.00%;150;2.092746176;0.871331748;54.09995434;39.9576601;11.91995504;788.4679232
57.04%;6.82%;17.55%;1.67%;1.11%;0.44%;0.26%;0.06%;0.02%;15.03%;100.00%;150;6.081945575;6.00419917;103.9042164;36.2242029;9.438961197;753.1887652
57.19%;7.47%;19.85%;2.80%;0.87%;0.33%;0.15%;0.09%;0.12%;11.11%;100.00%;150;6.225658502;6.99412798;111.3796484;36.32149339;12.36038595;965.3906127
54.99%;7.04%;15.78%;2.38%;0.39%;0.36%;0.16%;0.58%;0.06%;18.26%;100.00%;150;6.607505314;7.107991579;97.70484601;34.92103576;10.16008546;766.1672811
54.70%;7.65%;22.18%;1.20%;0.42%;0.44%;0.15%;0.24%;0.15%;12.87%;100.00%;150;6.054559529;7.735297218;116.9082546;34.73934382;9.710854249;785.5897948
55.83%;5.50%;24.06%;2.57%;1.15%;0.68%;0.26%;0.17%;0.07%;9.72%;100.00%;150;5.643843047;4.52970636;107.0857631;35.45454739;8.669990966;819.2227728
50.11%;4.69%;14.83%;1.89%;0.85%;0.72%;0.18%;0.47%;0.07%;26.19%;100.00%;150;5.648402511;4.027155741;78.71829894;31.82661377;10.68708787;829.9157121
50.16%;6.74%;14.25%;1.36%;1.38%;0.44%;0.08%;0.05%;0.14%;25.41%;100.00%;150;6.590649688;5.600056067;93.85291429;31.85706295;8.20157033;666.6013566
58.13%;5.32%;15.00%;1.33%;0.67%;0.37%;0.24%;0.52%;0.10%;18.32%;100.00%;150;6.138833174;4.929056095;80.873352;36.91876508;9.63854925;724.5402001
54.64%;5.05%;19.83%;2.77%;1.15%;0.60%;0.06%;0.59%;0.07%;15.25%;100.00%;150;5.895382023;4.057102604;99.16493779;34.70130885;10.19366878;872.2448558
49.39%;6.17%;22.68%;1.43%;0.93%;0.47%;0.23%;0.37%;0.09%;18.25%;100.00%;150;6.230373155;5.520871035;105.3979948;31.36712611;7.362038787;549.5815001
56.61%;3.02%;24.46%;1.18%;1.16%;0.52%;0.16%;0.43%;0.12%;12.34%;100.00%;150;5.82129968;1.853101639;86.2863811;35.95313938;9.285770125;829.5239957
57.87%;6.62%;21.19%;0.91%;0.81%;0.48%;0.09%;0.07%;0.13%;11.84%;100.00%;150;6.181362305;6.151459315;103.3224642;36.74967071;10.62268947;963.0556801
60.28%;5.76%;22.68%;0.57%;0.29%;0.48%;0.29%;0.21%;0.13%;9.31%;100.00%;150;6.229169574;5.854010078;100.4473157;38.28409487;13.34509689;1026.916499
53.78%;3.86%;20.08%;1.12%;0.90%;0.90%;0.18%;0.20%;0.05%;18.92%;100.00%;150;6.081216502;3.075084397;88.41338152;34.15724751;11.85289848;819.2508283
52.37%;3.73%;18.88%;1.44%;0.91%;0.43%;0.20%;0.37%;0.11%;21.57%;100.00%;150;5.713894968;2.922236312;78.38851085;33.26062076;11.7422427;727.953125
